origin,dest,count
3319,2182,59
3319,2337,28
3320,1553,9
3321,2182,2
3322,569,31
3322,641,53
3322,1419,58
3322,1545,2
3322,1610,55
3322,2747,28
3322,3028,26
3322,3381,2
3324,1561,33
3329,1859,37
3331,177,3
3331,384,1
3331,1342,5
3331,1483,1
3331,1527,2
3331,1567,73
3331,1637,1
3331,1668,3
3331,2068,84
3331,2123,95
3332,1570,20
3334,1637,4
3334,2159,82
3334,2201,52
3335,712,52
3335,939,44
3335,1574,36
3335,2031,5
3336,94,2
3336,841,41
3336,1154,38
3336,1422,51
3336,1567,5
3336,1576,4
3336,1859,44
3336,1999,2
3336,2186,3
3336,3380,50
3336,3387,32
3336,3481,3
3336,3629,1
3340,2206,1
3342,2204,2
3343,3793,2
3344,188,3
3344,1254,54
3344,1544,26
3344,1714,2
3344,1839,1
3344,2068,53
3344,2123,74
3344,2134,10
3344,2326,2
3345,1796,1
3345,2280,1
3345,2293,2
3345,3712,5
3345,3793,56
3348,1577,41
3348,1599,31
3349,937,6
3349,1498,41
3349,2216,4
3350,613,28
3350,1022,56
3350,2201,27
3350,2861,4
3351,1274,32
3351,1602,60
3352,3712,1
3354,1610,2
3354,2094,56
3355,1607,16
3355,2331,18
3356,1214,28
3356,1608,24
3357,266,33
3357,1048,2
3357,1462,5
3357,2293,43
3357,2326,5
3357,2336,63
3358,1610,2
3358,1637,52
3358,2094,70
3361,865,33
3361,1613,75
3361,1643,36
3361,2113,72
3362,87,9
3362,508,16
3362,909,180
3362,1626,1
3362,1762,32
3362,1781,21
3362,2057,11
3362,2198,1
3362,2209,22
3362,2269,7
3362,2281,2
3362,2316,2
3362,2325,97
3362,2326,47
3362,2331,17
3362,2336,2
3362,3073,52
3366,967,63
3366,1619,28
3367,1620,50
3369,1151,30
3369,1286,4
3369,1468,96
3369,1470,42
3369,1622,40
3369,2332,37
3370,1623,2
3371,2189,2
3373,720,2
3373,1626,1
3376,2326,18
3377,2204,3
3378,1634,2
3378,2291,18
3378,2306,9
3378,3073,21
3378,3383,15
3380,921,49
3380,1167,74
3380,1636,1
3380,1637,51
3380,3380,68
3381,1307,54
3381,1637,1
3382,1393,47
3382,1638,19
3383,216,73
3383,2290,3
3383,2318,1
3383,2326,3
3383,2338,75
3383,3378,17
3383,3712,56
3384,1640,26
3385,2326,13
3386,1642,20
3387,1637,34
3387,1643,1
3388,1011,73
3388,1076,71
3388,1778,110
3388,2114,27
3388,2176,59
3395,3355,14
3396,1445,38
3396,1476,35
3396,1662,35
3397,664,5
3397,959,65
3397,1663,14
3397,1999,43
3397,2072,2
3397,2094,87
3398,1959,2
3399,3712,7
3400,631,54
3400,2293,1
3400,2326,2
3403,1037,100
3403,1291,18
3403,1668,2
3403,2109,81
3403,2201,112
3405,1604,44
3405,2073,27
3405,2201,28
3407,1679,29
3411,1724,40
3413,1694,16
3415,1677,1
3415,1959,32
3415,1993,2
3416,920,36
3416,1697,31
3418,392,47
3418,3362,1
3419,530,51
3419,660,78
3419,1537,53
3419,1702,34
3419,3419,62
3421,193,73
3421,1057,47
3421,1959,24
3421,2270,66
3423,615,11
3423,1201,50
3423,1714,29
3424,1946,15
3426,3357,37
3426,3793,26
3428,1721,5
3429,2335,20
3430,1343,100
3430,2192,22
3431,1734,34
3432,1735,19
3433,1453,34
3433,1736,15
3435,1973,6
3435,2253,3
3435,2331,6
3438,1689,14
3438,1746,37
3439,1748,25
3442,1752,18
3443,3712,56
3445,1760,24
3447,1764,111
3449,1768,17
3450,1903,9
3451,591,9
3451,3362,32
3453,1772,18
3454,1732,46
3454,1773,17
3455,1135,53
3455,1774,18
3455,3455,56
3457,937,112
3457,1520,100
3457,1523,3
3457,1777,55
3458,1778,55
3459,3362,21
3461,3345,34
3462,1784,38
3463,1785,25
3466,1795,16
3466,1904,29
3469,1801,12
3472,1650,30
3472,1804,7
3474,1807,13
3474,1860,26
3475,1340,104
3475,1416,2
3475,1464,29
3475,1549,54
3475,2068,13
3476,1371,48
3476,2068,16
3477,1818,42
3478,1819,20
3479,927,15
3479,1453,33
3479,2454,6
3480,1911,21
3481,288,77
3481,814,68
3481,1167,2
3481,1216,40
3481,1359,4
3481,1732,39
3481,2068,12
3481,2740,45
3481,3481,8
3482,1828,13
3483,1829,17
3484,1830,13
3485,3513,16
3487,1401,6
3487,1839,17
3493,575,42
3493,655,49
3493,1056,47
3493,1315,49
3493,1797,21
3493,1852,9
3494,1853,13
3495,1856,16
3497,1130,57
3497,1860,13
3498,1484,45
3498,1861,15
3499,791,50
3499,1863,16
3499,3499,22
3500,1865,16
3500,1994,55
3501,1921,14
3502,1867,13
3503,1868,11
3503,2057,16
3505,1870,15
3506,1871,13
3507,533,30
3507,1875,13
3507,3606,25
3508,662,43
3508,1876,12
3509,562,37
3509,1880,10
3509,3454,46
3509,3481,46
3511,1745,37
3511,1882,19
3512,1884,1
3513,341,58
3513,605,13
3513,989,46
3513,1765,17
3513,1806,14
3513,1885,9
3513,3513,192
3515,139,3
3515,347,49
3515,508,140
3515,1626,2
3515,1888,51
3515,3712,6
3515,3793,50
3516,2653,61
3516,3536,13
3517,1890,29
3521,1895,22
3523,937,40
3523,1089,48
3523,1219,40
3523,1828,47
3523,1901,10
3524,1805,8
3524,1903,42
3525,1904,12
3526,1164,36
3526,1886,34
3526,1891,7
3526,1906,3
3527,1908,6
3528,1882,42
3528,1909,21
3529,737,36
3529,1589,54
3529,1814,41
3529,1910,29
3532,1917,21
3533,1918,14
3534,240,73
3534,996,39
3534,1919,7
3536,293,47
3536,345,68
3536,357,56
3536,434,42
3536,846,26
3536,1429,30
3536,1618,58
3536,1771,18
3536,1847,11
3536,1887,11
3536,1924,12
3536,1966,10
3537,1926,15
3538,1928,18
3541,1931,10
3542,1929,6
3542,1932,15
3543,1921,22
3543,1939,30
3544,1940,35
3545,1930,55
3545,1941,13
3546,1944,11
3548,1950,4
3549,2261,13
3551,2270,47
3551,3248,14
3552,1959,35
3554,583,48
3554,1865,70
3554,1994,9
3555,1058,38
3555,1736,1
3555,1962,13
3556,1954,38
3556,2270,11
3557,1321,21
3557,1965,29
3558,772,55
3558,1967,8
3559,1969,9
3562,78,3
3562,542,77
3562,1371,59
3562,1974,1
3562,3481,46
3564,1980,10
3564,2372,21
3565,1981,43
3566,1982,5
3567,390,22
3567,2346,10
3567,3170,21
3568,354,44
3568,2270,59
3568,3421,66
3568,3551,26
3569,1987,81
3570,1989,8
3571,1991,10
3573,1994,21
3574,1995,34
3575,1998,55
3576,2784,44
3577,188,1
3577,799,2
3577,866,28
3577,881,140
3577,1060,3
3577,1371,1
3577,1516,46
3577,2002,1
3578,876,39
3578,2004,16
3580,2007,28
3581,1893,15
3581,2009,17
3582,2010,9
3585,2194,18
3586,892,47
3586,1475,31
3586,1629,27
3586,2017,5
3586,2105,56
3586,2109,92
3586,2170,55
3587,2019,16
3587,2062,58
3588,1747,12
3588,2020,16
3588,2061,19
3590,315,65
3590,2024,1
3591,2027,1
3592,565,31
3592,2028,2
3593,2113,50
3593,2124,2
3593,2175,13
3593,2201,97
3595,1946,14
3595,2034,1
3596,1651,2
3596,2036,36
3597,273,70
3597,2037,29
3598,854,73
3598,2038,2
3601,2042,4
3602,2214,8
3603,2271,1
3604,160,4
3604,453,55
3604,2049,7
3604,2068,29
3605,262,82
3605,463,47
3605,1101,44
3605,1802,17
3605,2050,3
3605,2214,54
3605,2232,17
3606,2052,22
3607,1300,41
3607,2053,44
3607,3607,15
3609,2055,4
3609,3609,29
3611,2060,13
3612,465,22
3612,1743,64
3612,2020,75
3612,2061,5
3613,580,24
3613,2064,1
3614,1920,52
3614,3629,10
3614,3633,12
3618,56,47
3618,60,1
3618,207,80
3618,250,95
3618,839,10
3618,952,1
3618,1340,13
3618,1476,80
3618,2069,7
3618,2105,23
3618,2169,135
3618,2186,53
3618,2337,95
3618,3139,113
3618,3310,47
3618,3670,53
3618,3702,1
3619,2071,14
3620,2072,3
3621,1328,2
3621,2073,79
3622,504,15
3622,1993,19
3622,2184,6
3622,2326,4
3624,2077,2
3626,1334,40
3626,2079,2
3627,2094,8
3627,2095,21
3628,802,52
3628,962,86
3628,1287,1
3628,1422,81
3628,1424,42
3628,1663,86
3628,2094,112
3628,2144,52
3628,2158,56
3628,2206,8
3628,2668,54
3628,2919,113
3629,1535,1
3629,2148,2
3629,2216,4
3629,3614,5
3630,2083,7
3632,2216,2
3633,1544,13
3633,2134,6
3634,2078,5
3634,2088,2
3636,1613,49
3636,2090,1
3636,3636,86
3638,2132,2
3639,2204,4
3639,3362,15
3640,843,41
3640,2094,2
3641,2068,217
3641,2095,3
3641,2919,2
3642,910,64
3642,1009,40
3642,1525,26
3642,2054,4
3642,2206,21
3642,3702,3
3643,952,38
3643,2124,4
3644,2098,2
3645,2193,8
3647,1340,28
3647,1347,23
3647,2105,42
3647,2697,25
3647,2747,1
3648,2073,34
3648,2166,75
3648,2206,2
3650,177,1
3650,1424,4
3650,1464,42
3650,1475,56
3650,1697,13
3650,2068,23
3650,2113,3
3652,2106,11
3656,701,3
3656,1339,66
3656,2110,3
3656,2143,68
3659,1516,34
3659,1520,27
3659,1610,52
3659,2095,49
3659,2113,2
3660,97,13
3660,1443,58
3660,1604,41
3660,2071,63
3660,2105,3
3660,2114,2
3660,2169,41
3660,3361,73
3660,3593,54
3664,3047,4
3666,1523,3
3666,2124,2
3670,2068,50
3670,2132,11
3670,2206,1
3671,2210,5
3671,2291,3
3671,2336,3
3672,2132,5
3672,2337,41
3673,2134,4
3674,2337,4
3675,1695,13
3675,1960,13
3675,1973,28
3675,2136,8
3675,3421,18
3677,937,3
3677,2138,3
3677,2139,3
3677,2166,54
3677,3246,63
3678,2139,3
3678,3712,8
3679,1776,2
3679,2140,1
3679,2305,12
3682,2094,39
3682,2143,5
3683,1339,68
3683,2144,5
3685,742,1
3685,881,28
3685,2133,113
3685,3629,2
3686,2150,3
3687,1612,38
