origin,dest,count
2631,254,67
2637,1082,43
2638,255,70
2638,265,10
2644,280,106
2652,2995,91
2658,568,43
2662,2408,39
2663,310,20
2669,321,31
2676,335,72
2678,2051,22
2680,2408,63
2681,443,77
2682,2145,5
2684,2050,112
2686,1480,45
2686,2339,91
2687,923,22
2689,2456,76
2698,368,18
2698,2452,18
2702,2107,23
2704,386,25
2705,839,138
2705,2451,1
2707,1183,52
2708,396,43
2712,2982,16
2721,418,7
2725,422,7
2734,2158,24
2735,1719,19
2735,1918,8
2735,2256,25
2737,2169,12
2743,448,43
2746,2982,1
2749,458,1
2749,1717,13
2749,1728,23
2749,1878,49
2750,1337,5
2752,461,6
2754,2261,11
2758,3917,109
2763,1257,36
2766,481,1
2766,1661,1
2766,2090,39
2766,2230,27
2768,2855,43
2771,417,1
2771,486,2
2773,488,3
2779,2451,52
2779,2464,14
2779,2982,73
2782,500,21
2783,29,16
2783,501,4
2783,2081,43
2783,2092,52
2783,2397,5
2783,2783,358
2784,502,54
2784,2451,19
2789,1297,1
2790,907,7
2791,510,7
2798,518,6
2799,520,1
2799,1387,22
2799,2228,4
2799,2346,7
2800,410,16
2800,521,6
2802,1092,27
2802,1638,1
2802,1706,1
2802,2457,105
2802,2802,15
2806,2980,36
2808,2228,24
2808,2229,1
2808,2338,1
2811,537,9
2811,2031,5
2811,2811,7
2815,541,1
2815,2256,113
2815,3903,2
2816,1975,5
2816,2370,61
2817,543,12
2817,2982,6
2818,544,12
2820,2269,2
2824,552,29
2827,2090,40
2827,2312,2
2832,2855,39
2837,569,48
2837,2037,38
2837,2596,12
2843,576,1
2844,2408,25
2846,582,9
2847,583,54
2848,649,4
2848,2223,4
2850,586,5
2854,716,8
2855,330,43
2855,380,124
2855,591,2
2855,2464,39
2855,2982,52
2855,2989,22
2863,2050,34
2863,2334,1
2863,2377,2
2863,4004,24
2876,1854,33
2876,2338,2
2883,625,3
2883,1447,1
2883,2051,11
2883,2269,11
2887,2223,2
2890,649,2
2890,2244,8
2895,695,2
2902,2338,1
2906,2452,35
2910,2406,90
2911,2349,3
2911,3753,23
2912,950,15
2912,1735,27
2912,2249,32
2912,3831,1
2914,651,19
2914,823,34
2914,1581,33
2922,761,1
2922,2244,4
2924,680,2
2924,1265,1
2924,1854,11
2928,686,3
2929,2032,4
2930,613,25
2930,761,1
2930,2451,77
2931,1452,2
2938,2464,273
2947,1728,2
2949,716,9
2950,2408,68
2953,3760,33
2956,2299,2
2962,2328,1
2968,4004,2
2970,2320,2
2971,1311,1
2971,2406,1
2971,2418,2
2971,3917,5
2971,4004,56
2974,3917,1
2975,750,16
2975,2456,20
2976,1802,2
2976,2256,56
2977,278,37
2977,559,2
2977,670,5
2977,2418,43
2977,2452,5
2977,2462,86
2980,774,36
2980,934,18
2980,1907,36
2980,2217,35
2982,100,9
2982,402,16
2982,530,182
2982,761,1
2982,858,32
2982,1089,21
2982,2150,11
2982,2324,1
2982,2330,37
2982,2396,7
2982,2408,2
2982,2443,2
2982,2451,154
2982,2452,82
2982,2456,17
2982,2462,2
2982,2855,52
2984,2307,2
2985,485,2
2985,761,1
2989,765,2
2989,2417,26
2989,2429,11
2989,2855,21
2989,2995,26
2991,2320,3
2992,2452,24
2994,1073,11
2994,1578,36
2994,1582,24
2994,1875,24
2994,2088,1
2994,2994,32
2995,238,89
2995,2416,3
2995,2444,1
2995,2452,3
2995,2464,75
2995,2989,27
2995,3917,85
2996,2452,23
2997,774,1
2997,1875,16
3001,2975,14
3002,2032,2
3003,3917,10
3011,796,1
3011,2032,32
3011,2070,2
3015,334,61
3015,2982,1
3017,2456,8
3018,215,108
3018,568,47
3018,2032,28
3018,2395,102
3021,2977,37
3021,4004,36
3022,2460,40
3023,668,34
3023,823,18
3025,2050,6
3025,2377,3
3025,2456,6
3028,830,34
3031,3917,66
3032,1717,9
3032,1735,24
3032,1890,26
3032,2069,60
3032,2299,13
3037,842,24
3041,849,10
3043,1503,17
3051,1946,31
3052,2113,68
3054,3082,43
3055,867,27
3055,2418,1
3055,2452,2
3057,871,43
3057,2109,74
3066,884,36
3067,2088,32
3082,910,210
3088,919,52
3089,921,47
3091,2912,15
3102,949,211
3105,1838,43
3106,957,27
3106,3476,4
3110,968,74
3111,969,51
3113,1146,45
3120,981,45
3124,990,17
3126,994,42
3128,999,69
3129,1945,9
3130,32,1
3130,1002,119
3130,2346,14
3130,2387,37
3132,1327,62
3134,443,9
3134,2982,32
3139,1017,53
3141,1528,80
3144,1024,21
3144,1189,46
3144,3144,70
3145,1025,21
3145,1257,46
3146,1026,42
3155,975,65
3155,1043,22
3155,1203,67
3156,3696,64
3159,1292,55
3162,1056,67
3162,1941,96
3163,390,52
3163,1057,47
