origin,dest,count
2446,2448,5
2447,2034,43
2447,2447,14
2450,2450,4
2452,2273,21
2452,2460,122
2453,2453,1
2454,2430,6
2460,2452,63
2460,2460,1
2463,2463,3
2463,2470,1
2465,2471,2
2466,3791,240
2468,1664,96
2468,1667,72
2470,2423,84
2470,2463,3
2473,2474,1
2480,9,89
2482,1572,89
2487,1621,1
2487,1632,1
2487,1641,1
2488,829,43
2488,1192,45
2488,1322,1
2488,1354,1
2488,2488,88
2490,1858,1
2499,1812,48
2503,2714,16
2508,56,11
2509,57,11
2519,1626,48
2529,1634,2
2532,3390,9
2536,107,3
2539,1612,71
2543,1282,65
2543,1483,1
2549,1617,142
2552,126,2
2561,3543,145
2563,872,1
2563,1407,2
2564,3007,26
2572,2906,9
2577,400,34
2577,430,12
2577,660,13
2577,662,13
2577,1018,6
2578,1607,3
2584,1506,144
2587,253,2
2590,1607,1
2591,1115,2
2593,194,31
2597,784,14
2600,428,60
2601,206,64
2601,209,10
2608,673,108
2612,2920,116
2614,1547,39
2616,229,20
2623,1607,1
2632,253,72
2633,1547,66
2634,2193,5
2636,970,45
2636,1483,91
2638,677,167
2638,1605,1
2639,265,18
2639,1607,18
2641,1611,73
2653,288,26
2656,2906,16
2663,305,7
2673,1307,12
2674,1098,19
2674,1223,8
2674,1393,22
2681,329,40
2682,2906,1
2685,1632,5
2686,337,1
2686,1106,24
2686,1181,35
2686,1260,13
2688,339,6
2691,1396,11
2699,354,1
2699,1070,1
2699,1269,40
2699,1469,27
2702,357,3
2703,304,1
2703,358,2
2706,2781,43
2712,1605,66
2712,1622,14
2712,2906,116
2713,369,22
2714,44,16
2714,370,4
2714,1270,52
2714,1542,5
2714,1596,27
2714,2714,479
2715,371,54
2715,1605,19
2718,871,1
2721,378,7
2723,721,7
2729,386,6
2731,302,16
2731,388,6
2732,791,27
2732,1254,1
2732,1256,1
2732,1613,39
2732,2732,15
2733,390,1
2733,922,43
2733,1366,4
2733,1479,7
2734,1365,1
2734,1366,24
2734,1472,1
2738,2905,36
2743,404,1
2743,1393,143
2743,3480,2
2744,405,12
2744,2906,6
2745,406,12
2746,1211,5
2746,1515,47
2749,1404,2
2754,1269,40
2754,1445,2
2758,2781,39
2764,430,48
2764,1233,48
2764,2577,12
2771,439,1
2772,1547,26
2774,443,9
2775,506,4
2775,1361,4
2776,445,5
2779,569,8
2781,250,44
2781,450,2
2781,1615,1
2781,1622,39
2781,2906,52
2781,2916,23
2788,1490,2
2788,1617,14
2788,2435,1
2788,3594,21
2792,3543,10
2800,1173,33
2800,1472,2
2809,482,3
2809,954,1
2809,1404,11
2809,2372,11
2813,1361,2
2818,506,2
2818,1379,8
2820,543,2
2829,1472,1
2832,1607,36
2835,739,15
2835,1257,27
2835,1384,32
2835,3410,1
2836,1481,3
2836,3361,23
2837,1544,124
2840,316,19
2840,656,34
2840,1018,33
2849,613,1
2849,1379,4
2851,533,2
2851,854,1
2851,1173,11
2852,1584,3
2854,1335,4
2856,955,2
2868,1622,261
2870,1106,2
2876,1547,71
2877,569,9
2879,3482,33
2880,1642,2
2888,1460,1
2892,3594,2
2893,1450,2
2897,885,1
2897,1544,1
2897,1560,2
2897,3543,5
2897,3594,56
2898,3543,1
2900,600,16
2900,1611,13
2901,1149,2
2901,1393,56
2903,423,2
2903,522,5
2903,997,28
2903,1560,43
2903,1607,5
2903,1620,90
2905,623,36
2905,731,18
2905,1192,36
2905,1354,35
2906,117,9
2906,296,16
2906,613,1
2906,696,32
2906,788,21
2906,1296,11
2906,1455,1
2906,1461,23
2906,1531,7
2906,1547,2
2906,1591,2
2906,1605,79
2906,1607,86
2906,1611,17
2906,1616,2
2906,1620,2
2906,2781,52
2910,1440,2
2912,359,2
2912,613,1
2914,1450,3
2916,617,2
2916,1559,26
2916,1572,3
2916,2781,23
2916,2920,20
2917,1607,24
2919,781,11
2919,1026,22
2919,1077,25
2919,1178,24
2919,1268,1
2919,2919,32
2920,196,92
2920,1556,3
2920,1593,1
2920,1607,3
2920,1622,95
2920,2916,27
2920,3543,69
2921,623,1
2921,1178,16
2924,1335,2
2928,1607,20
2934,642,1
2934,1312,2
2934,1335,32
2936,254,61
2936,2906,1
2937,1611,8
2938,185,105
2938,428,47
2938,1335,31
2938,2418,88
2940,518,34
2940,656,18
2942,1618,10
2945,1490,3
2945,1611,6
2945,1617,6
2947,669,35
2951,3543,68
2952,1185,26
2952,1257,24
2952,1260,8
2952,1642,13
2952,2395,44
2957,681,24
2964,985,17
2969,1202,31
2972,701,53
2972,1560,1
2972,1607,2
2973,3700,53
2978,708,84
2979,1268,32
2995,2835,15
3000,742,28
3000,3206,4
3004,747,76
3007,26,1
3007,751,230
3007,1479,14
3007,1812,47
3011,2900,5
3021,872,55
3026,996,14
3031,787,40
3032,2906,21
3033,2897,50
3035,797,41
3040,2732,28
3043,1479,14
3044,1435,37
3049,816,14
3051,1332,32
3053,1393,25
3056,293,4
3056,823,44
3062,1393,49
3073,1872,32
3080,858,14
3080,1017,14
3085,1632,21
3088,1266,27
3094,1404,9
3094,1447,35
3094,1479,38
3095,939,14
3095,1016,1
3095,1352,17
3097,85,204
3097,1161,17
3097,1425,3
3102,1007,23
3102,1132,22
3102,1477,38
3103,1366,21
3107,403,2
3107,1332,19
3111,1594,29
3112,1149,2
3112,1178,25
3112,1393,57
3118,876,22
3118,907,28
3118,1137,143
3118,1173,14
3118,1418,3
3120,1403,26
3124,946,17
3135,1374,5
3135,1621,20
3140,939,23
3145,22,1
3145,543,3
3145,770,55
3145,1226,52
3145,1872,49
3150,955,1
3160,1183,48
3160,1403,32
3167,778,14
3167,985,32
3167,1149,13
3167,1173,16
3167,1268,19
3168,978,17
3168,990,14
3168,1268,156
3170,1137,22
3170,1635,16
3171,993,17
3171,1460,1
3177,1004,21
3178,1006,60
3179,1007,16
3179,3111,27
3179,3364,24
3180,1542,1
3180,1633,13
3180,1635,143
3181,896,2
3181,1549,3
3188,400,15
3188,518,33
3188,2577,6
3190,920,24
3190,946,13
3190,1021,17
3190,1185,16
3192,1263,49
3192,1418,2
3192,1435,1
3192,2733,19
3196,1055,25
3196,1178,1
3200,1178,20
3203,1635,25
3206,742,4
3206,1077,2
3206,1109,18
3206,1626,83
3206,1635,12
3206,1822,77
3206,2441,10
3206,3206,14
3206,3824,43
3213,972,20
3213,1054,28
3214,1055,19
3214,1418,16
3217,1059,20
3224,1384,28
3224,1428,38
3226,1070,138
3226,1477,19
3226,3111,41
